student_id,student_name,gender,department,graduation_year,cgpa,backlogs,internships,projects,certifications,aptitude_score,communication_score,placed,company,Company,role,salary,salary_bucket,skills
20001,Ananya Verma,Male,CSE,2021,6.81,0,1,5,0,69,66,TRUE,Byju's,Byju's,Cybersecurity Analyst,10.95,10-20,"Communication, Git, Java, Algorithms, SQL, Data Structures"
20002,Harsh Chopra,Male,CSE,2021,7.57,0,2,2,2,55,50,TRUE,Paytm,Paytm,DevOps Engineer,15.72,10-20,"Algorithms, Python, Pandas, Communication, Kubernetes, Git"
20003,Krishna Singh,Male,CSE,2021,8.88,0,2,0,1,41,75,TRUE,Adobe,Adobe,DevOps Engineer,15.76,10-20,"Jenkins, JavaScript, Azure, Communication, Docker, Git"
20004,Riya Malhotra,Female,CSE,2021,7.66,0,2,0,0,73,54,TRUE,Microsoft,Microsoft,Business Analyst,17.63,10-20,"Pandas, Python, Algorithms, Git, JavaScript, SQL"
20005,Pooja Kapoor,Female,CSE,2021,5.96,0,2,1,0,89,63,TRUE,Adobe,Adobe,Consultant,14,10-20,"Git, Data Structures, Docker, TypeScript, Algorithms, C"
20006,Harsh Kumar,Male,CSE,2021,8.65,1,1,2,1,66,49,TRUE,Goldman Sachs,Goldman Sachs,DevOps Engineer,20.48,20+,"Problem Solving, Communication, GCP, CI/CD, Rust, Git"
20007,Arjun Kapoor,Female,CSE,2021,7.76,0,1,1,1,63,70,TRUE,Paytm,Paytm,System Engineer,14.28,10-20,"JavaScript, Data Structures, Git, Algorithms, C"
20008,Ritu Agarwal,Male,CSE,2021,6.17,0,0,1,0,79,74,FALSE,Not Placed,Not Placed,,0,0,"Algorithms, Communication, Go, Git, Data Structures, JavaScript"
20009,Meera Bhatia,Male,CSE,2021,7.7,1,0,1,3,65,65,FALSE,Not Placed,Not Placed,,0,0,"Algorithms, Next.js, Data Structures, JavaScript, C++, Git"
20010,Kabir Chopra,Male,CSE,2021,7.8,0,1,5,1,83,54,TRUE,Swiggy,Swiggy,DevOps Engineer,12.22,10-20,"GCP, Kubernetes, Go, Problem Solving, Azure, Data Structures"
20011,Vivaan Saxena,Male,CSE,2021,7.56,0,1,2,0,68,64,TRUE,Wipro,Wipro,DevOps Engineer,10.06,10-20,"Git, Algorithms, Data Structures, Kubernetes, Rust, Communication"
20012,Aisha Gupta,Female,CSE,2021,9.29,0,0,2,1,30,71,TRUE,Amazon,Amazon,Cloud Engineer,20.01,20+,"GCP, Docker, Data Structures, Java, Algorithms, Kubernetes"
20013,Aryan Chopra,Female,CSE,2021,6.16,0,1,1,0,72,73,FALSE,Not Placed,Not Placed,,0,0,"Git, C, Communication, Pandas, JavaScript, Algorithms"
20014,Aditya Sharma,Male,CSE,2021,7.96,0,2,2,2,55,61,TRUE,Morgan Stanley,Morgan Stanley,Business Analyst,20.37,20+,"Problem Solving, Git, JavaScript, Communication, SQL, Algorithms"
20015,Raman Kapoor,Female,CSE,2021,8.51,0,2,3,0,70,67,TRUE,NVIDIA,NVIDIA,Machine Learning Engineer,23.41,20+,"Problem Solving, Docker, C++, Communication, scikit-learn, Data Structures"
20016,Aisha Saxena,Male,CSE,2021,8.74,0,0,2,3,67,73,TRUE,Infosys,Infosys,Cybersecurity Analyst,11,10-20,"Pandas, Data Structures, Git, Communication, Algorithms, SQL"
20017,Sara Kumar,Male,CSE,2021,6.81,1,0,4,0,64,73,TRUE,NVIDIA,NVIDIA,Data Analyst,17.92,10-20,"Problem Solving, Communication, Algorithms, Data Structures, Java, Git"
20018,Arjun Kapoor,Male,CSE,2021,9.14,0,1,2,1,56,90,TRUE,NVIDIA,NVIDIA,Software Engineer,24.48,20+,"Data Structures, Algorithms, Node.js, Communication, Git, JavaScript"
20019,Aditya Sharma,Female,CSE,2021,8.41,1,1,2,1,52,63,FALSE,Not Placed,Not Placed,,0,0,"Git, Data Structures, Algorithms, Communication, TypeScript, Go"
20020,Aarav Sharma,Male,CSE,2021,6.97,1,1,2,1,56,54,TRUE,PwC,PwC,SDE-1,9.13,6-10,"CSS, Git, Communication, Data Structures, SQL, C"
20021,Meera Malhotra,Male,CSE,2021,6.27,0,3,1,1,73,73,TRUE,Accenture,Accenture,Cybersecurity Analyst,8.06,6-10,"SQL, Algorithms, Git, Data Structures, Communication, Python"
20022,Sara Mehta,Male,CSE,2021,5.81,0,1,2,0,58,57,TRUE,NVIDIA,NVIDIA,Data Analyst,13.68,10-20,"Pandas, Data Structures, C, Git, Go, Algorithms"
20023,Ritu Sharma,Male,CSE,2021,8.9,0,0,1,0,60,70,TRUE,Goldman Sachs,Goldman Sachs,Software Engineer,18.94,10-20,"Git, Algorithms, Data Structures, C++, Rust, Node.js"
20024,Simran Kumar,Male,CSE,2021,9.8,0,2,2,1,60,70,TRUE,Zomato,Zomato,System Engineer,18.41,10-20,"Pandas, Algorithms, Data Structures, Communication, Git, Problem Solving"
20025,Myra Singh,Female,CSE,2021,7.22,2,0,2,2,67,82,TRUE,NVIDIA,NVIDIA,Consultant,18.81,10-20,"Git, Algorithms, Problem Solving, C, Communication, Java"
20026,Riya Agarwal,Male,CSE,2021,6.97,1,0,1,0,70,65,TRUE,Google,Google,DevOps Engineer,16.59,10-20,"Algorithms, GCP, Git, Go, Data Structures, CI/CD"
20027,Harsh Mehta,Male,CSE,2021,9.79,0,0,3,0,67,77,TRUE,Morgan Stanley,Morgan Stanley,System Engineer,23.55,20+,"Algorithms, Git, JavaScript, Data Structures, Communication, Problem Solving"
20028,Harsh Patel,Male,CSE,2021,5.62,0,1,5,0,73,62,FALSE,Not Placed,Not Placed,,0,0,"SQL, Algorithms, Problem Solving, Git, Data Structures, Java"
20029,Diya Kapoor,Male,CSE,2021,9.06,1,1,5,0,58,58,TRUE,Morgan Stanley,Morgan Stanley,Cloud Engineer,22.35,20+,"Git, Docker, Kubernetes, Python, Communication, GCP"
20030,Aryan Malhotra,Male,CSE,2021,6.71,0,1,5,0,60,71,TRUE,Google,Google,Cloud Engineer,13.87,10-20,"GCP, Algorithms, CI/CD, Azure, Communication, Problem Solving"
20031,Krishna Patel,Male,CSE,2021,7.1,0,0,4,1,74,60,FALSE,Not Placed,Not Placed,,0,0,"Algorithms, JavaScript, C++, Problem Solving, Data Structures, Communication"
20032,Karan Patel,Male,CSE,2021,6.91,0,0,0,2,60,70,TRUE,Amazon,Amazon,Machine Learning Engineer,14.38,10-20,"Git, TensorFlow, Data Structures, C++, Python, Algorithms"
20033,Aarav Singh,Female,CSE,2021,9.57,0,2,2,1,47,68,TRUE,Freshworks,Freshworks,Software Engineer,14.18,10-20,"Communication, TypeScript, C, Problem Solving, Data Structures, Git"
20034,Aarav Agarwal,Male,CSE,2021,8.59,0,1,2,1,63,62,TRUE,Zoho,Zoho,Machine Learning Engineer,15.28,10-20,"Communication, C++, TensorFlow, NoSQL, Problem Solving, Python"
20035,Meera Malhotra,Male,CSE,2021,8.71,0,2,2,1,57,61,TRUE,Cognizant,Cognizant,Cybersecurity Analyst,13.74,10-20,"Algorithms, Git, SQL, Data Structures, C, Communication"
20036,Meera Singh,Female,CSE,2021,9.45,0,1,2,1,61,67,TRUE,Byju's,Byju's,Cloud Engineer,16.96,10-20,"Docker, Kubernetes, Problem Solving, Algorithms, GCP, Go"
20037,Ritu Jain,Male,CSE,2021,8.72,0,1,2,1,65,63,TRUE,Capgemini,Capgemini,Machine Learning Engineer,12.82,10-20,"Python, Pandas, scikit-learn, Problem Solving, Git, PyTorch"
20038,Raman Bhatia,Female,CSE,2021,6.84,0,1,2,0,69,79,TRUE,IBM,IBM,Software Engineer,11.98,10-20,"Data Structures, Python, Git, Communication, Problem Solving, Pandas"
20039,Ananya Mehta,Male,CSE,2021,8.75,0,0,1,2,54,60,TRUE,Morgan Stanley,Morgan Stanley,SDE-1,19.51,10-20,"Java, Git, Algorithms, JavaScript, Data Structures"
20040,Sara Patel,Female,CSE,2021,6.86,0,1,3,0,81,63,TRUE,Google,Google,System Engineer,16.47,10-20,"Data Structures, C, C++, Algorithms, Communication, Git"
20041,Riya Patel,Male,CSE,2021,6.06,0,2,2,4,61,65,TRUE,Morgan Stanley,Morgan Stanley,DevOps Engineer,18.87,10-20,"Jenkins, Problem Solving, Azure, Communication, Algorithms, Data Structures"
20042,Kabir Bhatia,Male,CSE,2021,5.61,0,1,2,1,73,79,TRUE,Adobe,Adobe,Cloud Engineer,12.03,10-20,"Communication, Algorithms, Docker, Problem Solving, Git, Kubernetes"
20043,Ishaan Patel,Male,CSE,2021,9.28,0,1,1,1,49,60,TRUE,Morgan Stanley,Morgan Stanley,DevOps Engineer,23.61,20+,"Jenkins, Algorithms, AWS, Data Structures, Pandas, Rust"
20044,Aadhya Bhatia,Female,CSE,2021,5.75,0,1,4,0,47,56,FALSE,Not Placed,Not Placed,,0,0,"C++, Communication, Algorithms, Git, Python, Data Structures"
20045,Karan Mehta,Male,CSE,2021,9.87,0,0,1,1,68,69,TRUE,Byju's,Byju's,System Engineer,18.52,10-20,"Algorithms, Python, Git, Data Structures, C"
20046,Diya Bhatia,Male,CSE,2021,9.23,0,2,1,1,81,74,TRUE,NVIDIA,NVIDIA,Machine Learning Engineer,25.33,20+,"Algorithms, scikit-learn, Hadoop, Data Structures, Keras, Git"
20047,Simran Yadav,Female,CSE,2021,8.53,1,1,0,2,77,74,TRUE,NVIDIA,NVIDIA,System Engineer,21.98,20+,"Docker, Algorithms, Git, Communication, Rust, Data Structures"
20048,Diya Saxena,Female,CSE,2021,7.85,0,0,3,1,70,56,TRUE,Microsoft,Microsoft,Data Analyst,14.08,10-20,"Algorithms, Pandas, SQL, Git, Problem Solving, Communication"
20049,Vikas Agarwal,Male,CSE,2021,8.83,0,0,2,0,78,51,FALSE,Not Placed,Not Placed,,0,0,"Keras, Communication, Algorithms, TypeScript, Problem Solving, Git"
20050,Aarav Kapoor,Male,CSE,2021,9.32,1,0,1,0,61,84,TRUE,IBM,IBM,System Engineer,15.49,10-20,"Data Structures, Algorithms, TypeScript, JavaScript, Communication, Git"
20051,Aadhya Bhatia,Male,CSE,2021,6.21,0,1,2,1,74,70,TRUE,Amazon,Amazon,System Engineer,14.78,10-20,"Git, Problem Solving, JavaScript, Go, Data Structures, Algorithms"
20052,Vivaan Chopra,Male,CSE,2021,9.04,0,2,2,2,63,65,TRUE,Deloitte,Deloitte,DevOps Engineer,15.6,10-20,"Kubernetes, Data Structures, Git, AWS, Go, Problem Solving"
20053,Ishaan Singh,Male,CSE,2021,8.86,0,1,2,2,43,78,TRUE,IBM,IBM,Consultant,17.06,10-20,"Algorithms, Communication, Rust, Git, TypeScript, SQL"
20054,Diya Bhatia,Female,CSE,2021,8.99,0,0,3,1,40,53,FALSE,Not Placed,Not Placed,,0,0,"Algorithms, Python, Data Structures, Git, Problem Solving, Communication"
20055,Myra Gupta,Female,CSE,2021,5.63,0,1,2,1,80,64,TRUE,NVIDIA,NVIDIA,Software Engineer,17.95,10-20,"Git, Azure, Data Structures, Problem Solving, Pandas, Rust"
20056,Devansh Chopra,Male,CSE,2021,5.51,0,1,0,1,39,57,FALSE,Not Placed,Not Placed,,0,0,"Data Structures, Git, JavaScript, Algorithms, Next.js, Go"
20057,Diya Agarwal,Male,CSE,2021,6.19,0,1,1,2,69,78,TRUE,Google,Google,Machine Learning Engineer,15.42,10-20,"PyTorch, Python, Communication, TensorFlow, Data Structures, Algorithms"
20058,Vikas Verma,Male,CSE,2021,8.28,0,1,1,2,74,61,TRUE,Oracle,Oracle,Consultant,12.9,10-20,"Algorithms, C++, Data Structures, Rust, Git"
